lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
-118.4268,10,1,0,2000-01,22,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,2
-118.3708,7,1,0,2000-01,45,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,3
-118.1318,6,1,0,2000-01,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,4
-118.2698,6,2,0,2000-01,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,5
-118.4148,9,3,0,2000-01,32,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,6
-118.2698,8,3,0,2000-01,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,7
-118.3348,6,3,0,2000-01,12,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,9
-118.3028,3,3,0,2000-01,36,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,10
-118.3638,1,3,0,2000-01,56,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,11
-118.1488,11,1,0,2000-01,0,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,12
-118.3368,7,1,0,2000-01,9,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,13
-118.3638,2,1,0,2000-01,44,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,14
-118.2928,1,1,0,2000-01,16,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,15
-118.2078,0,1,0,2000-01,48,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,16
-118.3868,8,2,0,2000-01,50,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,18
-118.4018,11,3,0,2000-01,29,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,19
-118.2668,10,3,0,2000-01,8,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,21
-118.1358,9,3,0,2000-01,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,22
-118.2858,7,3,0,2000-01,57,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,23
-118.3788,5,3,0,2000-01,47,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,24
-118.3158,5,3,0,2000-01,11,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,25
-118.2698,2,3,0,2000-01,36,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,26
-118.3278,2,3,0,2000-01,4,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,27
-118.4528,0,3,0,2000-01,30,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,28
-118.1848,8,4,0,2000-01,19,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,29
-118.2668,6,4,0,2000-01,22,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,30
-118.1488,1,4,0,2000-01,20,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,31
-118.1428,0,4,0,2000-01,30,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,32
-118.1788,3,2,0,2000-01,30,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,39
